,text,re,fav
0,"['stop', 'coff', 'go', 'enjoythego', 'httpstcozrtxoehj']",4,10
1,"['new', 'charmin', 'goroast', 'burst', 'flav', 'bathroom', 'sold', 'sep', 'enjoythego', 'httpstcoyupbjql']",7,10
2,"['lovebell', 'pleas', 'dont', 'eat', 'charmin', 'drink', 'go', 'roast']",0,1
3,"['annagracecrosby', 'thrilled', 'charmin', 'keep', 'hiney', 'shiny', 'httpstcocbcmjtspjn']",1,2
4,"['leroid', 'goroast', 'cup', 'amp', 'charmin', 'loo']",0,1
5,"['introduc', 'new', 'charmin', 'go', 'roast', 'brew', 'class', 'roast', 'serv', 'on', 'siz', 'cal', 'httpstcomqcwzc']",15,18
6,"['enjoythego', 'httpstcocrtiqytom']",3,11
7,"['hop', 'enjoy', 'new', 'charmin', 'goroast', 'much', 'enjoythego', 'httpstcoeifgskw']",15,35
8,"['lifeofry', 'thank', 'reach', 'chant', 'smal', 'remn', 'manufact', 'pleas', 'cal', 'httpstcobaqrywkc']",0,0
9,"['sit', 'tweet', 'amp', 'go', 'look', 'amp', 'see', 'worldpoetryday', 'tweetfromthes', 'httpstcotijnwzkjse']",9,21
10,"['steakum', 'dont', 'lik', 'tak', 'sidesc', 'che', 'stand', 'httpstcotbuxwsj']",3,86
11,"['whatitdodk', 'thank', 'tak', 'tim', 'let', 'us', 'know', 'wel', 'lik', 'cas', 'want', 'list', 'httpstcocbcmjtspjn']",1,1
12,"['porshel', 'im', 'sorry', 'rec', 'purchas', 'charmin', 'youd', 'expect', 'poss', 'purchas', 'diff', 'httpstconiteafwq']",0,0
13,"['maisbikkj', 'ultr', 'soft', 'blu', 'pack', 'ultr', 'strong', 'red', 'find', 'amp', 'get', 'coupon', 'httpstcomoacnbnne']",0,0
14,"['rainingonu', 'allanandashley', 'warm', 'gasp', 'mean', 'dont', 'shineyhiney', 'youv', 'tri', 'charmin', 'ult', 'httpstcotufxpxeni']",1,4
15,"['umpquachemprof', 'yo', 'alon', 'enjoythego']",0,0
16,"['nessamp', 'miss', 'accompl']",0,0
17,"['smhuntington', 'would', 'tickl', 'cas', 'youd', 'lik', 'shar', 'oth', 'keep', 'httpstcocbcmjtspjn']",0,1
18,"['getnoah', 'on', 'catchy', 'tun', 'ist', 'youl', 'nev', 'forget', 'charmin', 'way', 'shineyhiney']",0,1
19,"['mikeinwv', 'sometim', 'short', 'interupt', 'meltedfac', 'sess', 'get', 'shineyhiney']",1,2
20,"['canerd', 'il', 'shar', 'request', 'rest', 'team', 'thank', 'stop', 'shar']",0,0
21,"['itscarloswald', 'wow', 'cowork', 'everyon', 'her', 'bear', 'salut', 'us', 'enjoythego', 'work']",0,1
22,"['canerd', 'sitorsqu', 'ap', 'thatwi', 'sitorsqu', 'put', 'cle', 'publ', 'toilet', 'map', 'lit', 'cl', 'httpstcoxkrlqkl']",0,0
23,"['itsdrbrownbear', 'wheth', 'choos', 'soft', 'strong', 'cant', 'go', 'wrong', 'charmin', 'loo', 'yo', 'cov', 'amp']",1,2
24,"['indyles', 'see', 'point', 'got', 'ta', 'giv', 'point', 'sit', 'charmin', 'spot', 'mayb', 'warn']",0,1
25,"['scottsheriff', 'im', 'sorry', 'charmin', 'mummy', 'condit', 'happy', 'help', 'pleas', 'giv', 'us', 'cal']",0,0
26,"['watch', 'gam', 'away', 'loo', 'wait', 'enjoythego', 'httpstcogkwwvvmf']",14,15
27,"['sprfitwithmary', 'absolv', 'wed', 'com', 'expect', 'pleas', 'cal', 'us', 'want', 'mak', 'right']",0,0
28,"['liamfederico', 'easy', 'resolv', 'pleas', 'try']",0,0
29,"['liamfederico', 'know', 'exact', 'going', 'mak', 'mind', 'send', 'us', 'dm']",0,0
30,"['sartayl', 'rememb', 'video', 'didnt', 'hap']",0,0
31,"['higleyand', 'omgggg', 'cuty', 'want', 'boop', 'soft', 'littl', 'nos', 'thank', 'giv', 'hom', 'softest', 'bed', 'town']",0,1
32,"['teresamaynot', 'stil', 'mak', 'doubl', 'rol', 'talk', 'stor', 'man', 'consid', 'request', 'fre', 'rol', 'ext', 'httpstcowdevuzuma']",0,0
33,"['chuckford', 'nnnnnoooooooooooooooooooo']",0,1
34,"['wrenchingonc', 'woohoo', 'found', 'freedom', 'charmin', 'happy', 'tinkl', 'littl']",0,0
35,"['specialkittym', 'yo', 'ready', 'zomby', 'messy', 'situ']",0,1
