,text,re,fav
0,"['rchrd', 'linkedin', 'hi', 'thank', 'reach', 'sorry', 'hear', 'famy', 'memb', 'friend', 'co', 'httpstcongbnmzp']",0,0
1,"['simonflood', 'sorry', 'hear', 'frust', 'caus', 'simon', 'il', 'shar', 'expery', 'tea', 'httpstcoswtpfr']",0,0
2,"['jennclem', 'try', 'httpstcohrzgebmuo']",0,0
3,"['jennclem', 'hi', 'jen', 'check', 'httpstcovzfzvqe']",0,0
4,"['jen', 'hi', 'unfortun', 'dont', 'companyperson', 'linkedin', 'credit', 'card', 'provid', 'memb', 'httpstconvkxeukng']",0,0
5,"['twiggylou', 'that', 'id', 'dm', 'email', 'address', 'spec', 'yo', 'try', 'shar', 'ke']",0,0
6,"['mobileupspain', 'hi', 'wed', 'happy', 'tak', 'clos', 'look', 'dm', 'us', 'email', 'account', 'thank', 'lc']",0,0
7,"['shivrajdigh', 'thank', 'reach', 'suggest', 'wel', 'forward', 'along', 'feedback', 'correct', 'group', 'linkedin', 'lc']",0,1
8,"['deadtechnolog', 'wed', 'happy', 'tak', 'clos', 'look', 'dm', 'us', 'email', 'account', 'want', 'ru', 'httpstcoupdtwqtq']",0,0
9,"['xtin', 'that', 'good', 'hear', 'stil', 'expery', 'try', 'uninstal', 'reinstal', 'httpstcovxrwemczfy']",0,0
10,"['levolutionbel', 'hi', 'tric', 'id', 'lik', 'see', 'help', 'dm', 'email', 'address', 'assocy', 'httpstcoczsxnbdks']",0,0
11,"['debshuck', 'hi', 'deb', 'happy', 'look', 'pleas', 'follow', 'us', 'twit', 'dm', 'email', 'addr', 'httpstcoffoggnwbu']",0,0
12,"['iamgarff', 'thank', 'let', 'us', 'know', 'adam', 'let', 'team', 'know', 'lj']",0,0
13,"['tkdano', 'hi', 'happy', 'look', 'follow', 'us', 'twit', 'dm', 'email', 'address', 'lj']",0,0
14,"['cosmicworkshop', 'hi', 'july', 'thank', 'reach', 'apprecy', 'feedback', 'alway', 'upd', 'httpstcohitwilptf']",0,0
15,"['ikaindef', 'let', 'us', 'tak', 'clos', 'look', 'dm', 'us', 'email', 'address', 'account', 'thank', 'lc']",0,0
16,"['sirxrumicart', 'hi', 'apolog', 'delay', 'respons', 'run', 'stil', 'expery', 'httpstcotaspnbre']",0,0
17,"['jamesdmorin', 'hey', 'jam', 'im', 'sur', 'im', 'follow', 'dm', 'spe', 'exampl', 'yo', 'see']",0,1
18,"['cityactu', 'happy', 'hear', 'work', 'let', 'us', 'know', 'run', 'anyth', 'strange', 'ke']",0,0
19,"['mxenigm', 'thank', 'tak', 'tim', 'provid', 'feedback', 'sur', 'let', 'produc', 'team', 'know', 'request', 'lc']",0,0
20,"['cityactu', 'oh', 'let', 'see', 'what', 'going', 'dm', 'phon', 'numb', 'yo', 'try', 'us', 'mobl', 'httpstcokeyvrytgn']",0,0
21,"['mehranfarahraz', 'that', 'certain', 'expery', 'wed', 'lik', 'try', 'uninstal', 'reinstal', 'httpstcozdwtepzcoe']",0,0
22,"['srgb', 'hi', 'serg', 'try', 'help', 'dm', 'spec', 'email', 'address', 'il', 'tak', 'look', 'ke']",0,0
23,"['mjabr', 'hi', 'dillon', 'stil', 'expery', 'ke']",0,0
24,"['ib', 'see', 'dm', 'bre', 'respond', 'soon', 'lc']",0,0
25,"['imrananw', 'sorry', 'tim', 'tim', 'may', 'ask', 'upd', 'ap', 'ens', 'optim', 'perf', 'httpstcoasczyqhyj']",0,0
26,"['ambzm', 'test']",0,0
27,"['mxplusc', 'hmmmm', 'let', 'us', 'tak', 'look', 'confirm', 'phon', 'langu', 'set', 'span', 'also', 'try', 'un', 'httpstcowhrspfp']",0,0
28,"['tusharn', 'hi', 'tush', 'thank', 'reach', 'abl', 'select', 'city', 'stat', 'ad', 'ful', 'address', 'lj']",0,0
29,"['zanellach', 'run', 'stil', 'expery', 'issu', 'let', 'us', 'know', 'lj']",0,0
30,"['imrananw', 'oop', 'us', 'lj']",0,0
31,"['imrananw', 'thank', 'video', 'uninstal', 'reinstal', 'ap', 'usus', 'help', 'fresh', 'start', 'let', 'know', 'lj']",0,0
32,"['ib', 'let', 'see', 'what', 'going', 'dm', 'email', 'address', 'il', 'tak', 'look', 'ke']",0,0
33,"['cierc', 'hi', 'tammy', 'id', 'lik', 'see', 'help', 'dm', 'email', 'address', 'cas', 'numb', 'ke']",0,0
34,"['lonnd', 'oh', 'let', 'see', 'what', 'going', 'dm', 'url', 'yo', 'try', 'shar', 'also', 'clar', 'httpstcostmnvzicb']",0,0
35,"['gypseyscam', 'understand', 'concern', 'memb', 'priv', 'top', 'pri', 'id', 'provid', 'onl', 'httpstcomddoxco']",0,0
36,"['mcp', 'thank', 'respons', 'il', 'pass', 'feedback', 'along', 'team', 'issu', 'persist', 'email', 'us', 'httpstcoavqyvsjfw']",0,0
37,"['farhanijaz', 'thank', 'farh', 'uninstal', 'reinstal', 'trick', 'doesnt', 'let', 'us', 'know']",0,0
38,"['yassinalhennawy', 'sorry', 'yassin', 'send', 'us', 'detail', 'press', 'linkedin', 'dot', 'com']",0,0
39,"['imrananw', 'thank', 'respons', 'persist', 'send', 'us', 'email', 'direct', 'httpstconnmhhfbhyy', 'wed', 'li', 'httpstcoeyezhlgwei']",0,1
40,"['alannieg', 'hi', 'alanny', 'dm', 'email', 'assocy', 'account', 'tak', 'look', 'thank', 'adv']",0,0
41,"['skulldug', 'apolog', 'frust', 'apprecy', 'feedback', 'ryan', 'il', 'pass', 'along', 'team']",0,0
42,"['sunninghilltrav', 'sent', 'dm', 'see', 'ya']",0,0
43,"['putthoff', 'that', 'good', 'dm', 'detail', 'sand', 'email', 'assocy', 'account', 'jeff', 'happy', 'check']",0,0
44,"['alicelidel', 'hrm', 'strange', 'dm', 'email', 'assocy', 'account', 'poss', 'yo', 'httpstcohbjfzuuvx']",0,0
45,"['areyoupray', 'hi', 'kem', 'dm', 'email', 'assocy', 'account', 'happy', 'check']",0,0
46,"['roadkillbob', 'apolog', 'frust', 'bobby', 'dm', 'addit', 'detail', 'happy', 'get', 'pass', 'httpstcovhmwy']",0,0
47,"['nath', 'thank', 'feedback', 'nath', 'sur', 'let', 'team', 'know', 'request', 'sav', 'item', 'httpstcoajwhjmchav']",0,0
48,"['reddeppajang', 'hi', 'send', 'dm', 'addit', 'inform', 'lj']",0,0
