,text,re,fav
0,"['grahamad', 'exact']",0,0
1,"['marcusdharvey', 'wed', 'lik', 'tak', 'look', 'reserv', 'pleas', 'dm', 'confirm', 'cod']",0,0
2,"['thikkthighzstfu', 'httpstcowwftyy']",0,0
3,"['caromcapot', 'far', 'hasnt', 'cancel', 'keep', 'ey', 'flight', 'stat', 'httpstcoayzyui']",0,0
4,"['grahamad', 'pleas', 'us', 'link', 'dm', 'confirm', 'cod', 'wel', 'see', 'what', 'avail', 'httpstcoxsmyplfyg']",0,0
5,"['grahamad', 'eith', 'on', 'keep', 'ey', 'flight', 'let', 'know', 'aircraft', 'way', 'tamp']",0,0
6,"['thikkthighzstfu', 'cant', 'hint', 'upcom', 'sal', 'keep', 'ey', 'websit', 'soc', 'channel', 'annount']",0,0
7,"['heatherbabino', 'yet', 'shouldnt', 'much', 'long', 'though', 'stay', 'tun', 'httpstcoqjboqbml', 'annount']",0,1
8,"['caromcapot', 'weath', 'impact', 'op', 'northeast', 'today', 'httpstcojjmigddmw', 'plan', 'op', 'httpstcovabwwyy']",0,0
9,"['stevejekel', 'jmurphfb', 'tajekel', 'harrahsreno', 'hav', 'receiv', 'email', 'us', 'may', 'nev', 'httpstcomfqnaxfbg']",0,0
10,"['stevejekel', 'jmurphfb', 'tajekel', 'harrahsreno', 'thank', 'reach', 'every', 'delay', 'flight', 'evalu', 'compens', 'httpstcohnkfzqoibz']",0,1
11,"['thikkthighzstfu', 'dont', 'sal', 'cur', 'find', 'best', 'deal', 'httpstcogcmkvkeor', 'httpstcotervvcvzus']",0,0
12,"['marcusdharvey', 'hi', 'marc', 'spok', 'inflight', 'crew', 'seat', 'tv']",0,0
13,"['michaelado', 'dont', 'exact', 'dat', 'yet', 'michael', 'soon', 'know', 'wel', 'annount', 'websit', 'httpstcoceentugpze']",0,0
14,"['grahamad', 'yo', 'right', 'plan', 'op', 'flight', 'cur', 'air', 'flight', 'en', 'rout', 'httpstcougafxmbe']",0,0
15,"['brianamclel', 'sigh', 'sorry', 'pleas', 'reach', 'inflight', 'crew', 'see', 'op', 'ava', 'httpstcoyrdfvkfyh']",0,0
16,"['dogrady', 'tim', 'tel', 'hav', 'yet', 'annount', 'stay', 'tun', 'soon']",0,0
17,"['helenfry', 'sorry', 'hear', 'hel', 'apprecy', 'feedback', 'pass']",0,0
