,text,re,fav
0,"['introduc', 'print', 'turboprop', 'engin', 'unus', 'feat', 'brain']",45,99
1,"['market', 'hip', 'replac', 'peopl', 'print', 'hip', 'numb', 'grow']",18,55
2,"['team', 'ge', 'glob', 'research', 'swe', 'detail', 'swe', 'help', 'hydr', 'athlet', 'soldy']",26,55
3,"['gex', 'jet', 'engin', 'wid', 'body', 'boe', 'first', 'flight', 'test']",137,368
4,"['jwaalaamarna', 'thank', 'amarna', 'think', 'learn', 'cuttingedg', 'tech', 'that', 'httpstcoppmnumgy']",0,0
5,"['belcantobhoy', 'hi', 'barry', 'sorry', 'yo', 'issu', 'stov', 'pleas', 'email', 'detail', 'eresp', 'httpstcohmellap']",0,0
6,"['bil', 'peopl', 'dont', 'access', 'elect', 'work', 'chang']",38,63
7,"['vipr', 'sorry', 'yo', 'issu', 'pleas', 'email', 'detail', 'eresponsegeappliancescom', 'ge', 'apply', 'team', 'tak', 'look']",0,0
8,"['alisondown', 'problem', 'pleas', 'email', 'detail', 'eresponsegeappliancescom', 'ge', 'apply', 'team', 'tak', 'look']",0,1
9,"['mil', 'hour', 'min', 'first', 'nonstop', 'flight', 'london', 'austral', 'pow', 'ge']",102,285
10,"['air', 'as', 'sign', 'year', 'deal', 'ge', 'avy', 'digit', 'fleet', 'dat', 'collect', 'help', 'airlin', 'run', 'httpstcopzcxpwcsfw']",35,94
11,"['ge', 'cur', 'convert', 'siz', 'arc', 'di', 'triomph', 'en', 'distribut', 'offsh', 'wind', 'pow', 'almost', 'on', 'mil', 'hom']",19,64
12,"['offsh', 'convert', 'stat', 'en', 'renew', 'energy', 'distribut', 'dist', 'long', 'prevy', 'thought', 'poss']",13,34
13,"['doz', 'wind', 'turbin', 'on', 'giant', 'yellow', 'acdc', 'convert', 'pow', 'on', 'mil', 'hom']",35,73
14,"['ahmedahm', 'pleas', 'feel', 'fre', 'search', 'op', 'posit', 'are', 'car', 'websit', 'httpstcoyayetbkix']",0,0
15,"['jdeleon', 'sorry', 'frust', 'amp', 'issu', 'yo', 'fac', 'pleas', 'reach', 'ge', 'apply', 'erespons', 'httpstcoagrfcgncm']",0,1
16,"['mistertov', 'got', 'check', 'video', 'hear', 'engin', 'roar', 'httpstcoghuoyyfeq']",0,0
17,"['behlolp', 'remot', 'vil', 'ind', 'elect', 'first', 'tim', 'ev', 'thank', 'grid', 'solv', 'ge', 'pow']",89,165
18,"['suesiegel', 'ge', 'chief', 'innov', 'off', 'explain', 'ge', 'embrac', 'chang', 'industry', 'pois', 'httpstcofebkxotc']",7,28
19,"['sint', 'getransport', 'modern', 'program', 'seen', 'x', 'grow', 'that', 'lot', 'extrem', 'makeov', 'locomot', 'around', 'world']",4,12
20,"['modern', 'monthsgetransport', 'overhaulingnscorp', 'ag', 'locomot', 'extend', 'valu', 'serv', 'lif']",4,25
21,"['getransport', 'completeth', 'first', 'scheduled', 'locomot', 'modern', 'nscorp', 'rang', 'httpstcodzmxilkid']",3,23
22,"['pac', 'chang', 'nev', 'slow', 'today', 'suesiegel', 'ge', 'chief', 'innov', 'off', 'th', 'indust', 'revolv']",9,24
23,"['suesiegel', 'ge', 'chief', 'innov', 'off', 'speak', 'mobl', 'world', 'congress', 'what', 'requir', 'success', 'rapid', 'chang', 'world']",5,24
24,"['adamlopezfalk', 'gecapit', 'weareunidos', 'yesyourerac', 'shaunk', 'hi', 'adam', 'sint', 'apprecy', 'reach', 'httpstcoiwtlnkz']",0,1
25,"['hopkin', 'command', 'cent', 'gehealthc', 'technolog', 'funct', 'expand', 'hospit', 'capacitywi', 'httpstcopceyhci']",5,16
26,"['wear', 'technolog', 'revolv', 'healthc', 'see', 'develop', 'new', 'dev', 'test', 'perspir', 'httpstcogscjgbojif']",28,58
27,"['pound', 'thrust', 'inch', 'fan', 'diamet', 'carbon', 'fib', 'composit', 'fan', 'blad', 'engin', 'wid', 'httpstcovehjwexiq']",40,110
28,"['light', 'composit', 'part', 'help', 'mak', 'gex', 'ge', 'avy', 'world', 'largest', 'jet', 'engin', 'com', 'boe', 'new', 'x', 'aircraft', 'soon']",18,62
29,"['gexth', 'world', 'largest', 'jet', 'enginejust', 'took', 'maid', 'flight', 'mojav', 'desert', 'tuesday', 'httpstcozhealftueh']",54,128
30,"['rt', 'geavy', 'world', 'largest', 'engin', 'took', 'ski', 'first', 'tim', 'week', 'culmin', 'decad', 'research']",223,0
31,"['quit', 'don', 'celebr', 'piday', 'reread', 'last', 'sev', 'tweet', 'oh', 'keep', 'mind']",5,23
32,"['abl', 'ge', 'locomot', 'connect', 'rejuv', 'deft', 'improv', 'ukrain', 'railway', 'httpstcoxdabgcdb']",5,23
33,"['energy', 'californ', 'abund', 'bounteousuncertain', 'battery', 'reduc', 'acceiv', 'depend', 'vast', 'rigid', 'httpstconhmmrhdui']",5,20
34,"['dat', 'brain', 'diagnos', 'mri', 'screenings', 'affirm', 'un', 'view', 'clin', 'agree', 'research', 'httpstcosksjfoux']",9,22
35,"['addit', 'propel', 'turboprop', 'engin', 'gre', 'httpstcoouqyvbrvxi']",6,20
36,"['today', 'innov', 'offsh', 'turbin', 'put', 'marvel', 'glimmer', 'robust', 'renew', 'pep', 'involv', 'machinery', 'sys', 'httpstcoxvbbbnsix']",2,10
37,"['access', 'bet', 'dat', 'tip', 'chem', 'ge', 'toward', 'discovery', 'httpstcodnuhgemei']",2,18
38,"['wow', 'bon', 'skul', 'fract', 'plan', 'bolt', 'met', 'impl', 'inst', 'emerg', 'util', 'addit', 'httpstcopglcjilodo']",30,79
39,"['math', 'sci', 'art', 'form', 'ask', 'art', 'paint', 'pi']",31,58
40,"['company', 'sci', 'engin', 'mathem', 'see', 'everywh', 'piday', 'httpstcosisjjnltb']",86,177
41,"['cusef', 'homedepot', 'sorry', 'yo', 'issu', 'pleas', 'email', 'detail', 'eresponsegeappliancescom', 'ge', 'httpstcojzgwxgng']",0,0
42,"['bustedcov', 'sorry', 'frust', 'amp', 'issu', 'yo', 'fac', 'pleas', 'reach', 'ge', 'apply', 'erespon', 'httpstcovpracwut']",0,1
43,"['divers', 'teamsmad', 'gend', 'backgroundslead', 'technolog', 'solv', 'built', 'entir', 'hum', 'rac', 'httpstcojwqfooyx']",19,48
44,"['ceil', 'unless', 'acceiv', 'on', 'sibyl', 'stef', 'ambit', 'push', 'work', 'httpstcobntlypzxu']",14,43
45,"['ment', 'act', 'teach', 'start', 'print', 'class', 'help', 'fem', 'stud', 'expl', 'poss', 'httpstcofcwaeqavnt']",27,52
46,"['rt', 'geavy', 'meet', 'wom', 'behind', 'on', 'largest', 'engin', 'maint', 'facil', 'world', 'ge', 'avy', 'wal', 'internationalwomensd']",16,0
47,"['rt', 'bhgeco', 'girl', 'go', 'farm', 'rur', 'scotland', 'top', 'oilandga', 'industry', 'europ', 'direct', 'oilfield', 'equip', 'l']",18,0
48,"['rt', 'gereport', 'engin', 'wom', 'wom', 'happy', 'internationalwomensday', 'httpstcogzzmllvfw', 'iwd', 'gehealthc']",17,0
49,"['rt', 'gepow', 'ericgebhardt', 'vp', 'amp', 'strategic', 'tech', 'off', 'discuss', 'dynam', 'driv', 'nee', 'energyst', 'httpstcox']",7,0
50,"['rt', 'gec', 'thursday', 'intern', 'wom', 'day', 'wev', 'partn', 'geavy', 'wal', 'tel', 'story']",5,0
